TIME,BIN1,BIN2,BIN3,BIN4,BIN5,BIN6,BIN7,BIN8,BIN9,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21
176.959274,3.897036,78.377304,-28.212051,22.643448,-4.803205,20.954556,17.261101,21.821270,1.732063,1.176863,-11.514626,-14.683331,-6.132245,-2.322896,9.414120,9.032230,-0.805220,-2.199674,-13.900673,-8.977278,-3.005239
176.982494,14.516298,72.919083,-9.200639,23.647644,11.179917,22.696472,26.945984,19.143997,6.700521,3.374218,-6.631954,-5.713216,-7.326036,-4.356169,9.571150,11.391521,1.434800,-1.222923,-10.871449,-7.684391,-2.068844
177.005714,4.104696,69.635956,-12.872822,17.000591,9.166124,18.209656,28.782764,18.760132,5.770506,9.795610,2.680623,-0.949218,-4.263503,-3.691796,11.426302,13.690187,2.505231,-0.706684,-5.591475,-4.668450,-4.679982
177.028934,1.757764,68.806473,-21.858927,9.200117,1.478127,10.203611,20.105984,19.144102,2.370133,9.118797,3.195235,1.302274,-4.016524,-5.686308,7.059702,12.261278,4.983964,0.552757,-6.517293,-4.628639,-10.095052
177.052154,-0.962831,62.350189,-26.793236,8.660517,-3.132394,11.024695,16.451805,15.397541,-1.667226,7.147671,3.684465,2.092578,-7.880568,-12.298775,2.542016,15.345692,4.413207,3.644673,-8.124955,-3.308459,-13.311172
177.075374,-4.596229,59.264229,-28.179638,11.733516,-4.242965,12.103821,12.302935,11.585658,-3.431124,11.631092,2.364351,7.562128,-7.775534,-11.086962,-2.593571,11.967830,1.284844,4.704005,-11.205601,-4.106203,-13.989323
177.098594,-7.207707,57.369240,-30.290775,11.711094,-5.935702,14.184689,10.808928,14.853155,-0.690105,7.697672,-2.031663,7.657111,-6.488052,-7.643023,-2.578342,7.401086,-3.136220,3.292845,-10.303919,-7.911152,-15.405456
177.121814,-8.581824,57.846161,-36.001972,9.690506,-8.420024,15.586623,10.757626,17.898632,-4.237583,4.055573,-2.446543,2.945450,-8.441755,-6.221131,1.545204,9.235352,-4.789695,1.306959,-10.412800,-11.311362,-19.508232
177.145034,-8.256061,61.391628,-35.467148,8.869280,-7.924438,17.026438,13.581348,19.199659,-7.882565,5.925783,-0.282476,1.318689,-9.617090,-5.414716,5.993395,16.681896,-2.353997,1.241109,-13.216839,-12.402474,-22.329866
177.168254,2.128172,70.807739,-32.209576,12.460236,-7.206007,15.349225,6.263675,10.186949,-9.148166,10.116103,-4.613083,-4.456759,-9.698372,-0.246888,5.065229,17.893341,1.672735,6.027761,-9.210529,-14.945129,-25.101963
177.191474,9.226041,80.081123,-32.337101,13.597729,-7.665900,9.980265,1.497212,3.523447,-7.102028,15.772504,-0.391549,-12.897648,-11.633001,-0.530196,3.213417,8.315910,1.282401,3.703485,-1.456425,-14.719582,-20.452225
177.214694,-2.348172,72.115906,-32.617523,15.313541,-5.236660,7.479959,3.404682,3.779732,-3.004988,18.580452,0.292760,-13.053609,-9.595186,-4.727265,0.570449,3.135461,2.162188,0.196436,1.170415,-11.404768,-15.654953
177.237914,-13.264661,70.669502,-28.403152,20.329548,-5.031852,11.684912,7.732398,7.322341,-1.481579,18.808233,-1.879422,-9.837626,-7.596889,-4.737847,-1.135305,4.255935,1.281208,-1.209722,-0.663857,-8.723890,-17.004646
177.261134,-19.075151,72.444862,-30.192400,24.291859,-1.920240,15.051945,4.606321,15.092135,1.283546,19.308626,-2.176351,-12.124433,-10.682152,-4.493407,-1.048909,5.517265,-4.517472,-0.865325,-4.101647,-8.078730,-14.925514
177.284354,-21.569181,79.027512,-34.997971,28.965563,-2.380343,17.471546,2.798019,16.423027,2.320469,15.635815,1.540007,-13.847604,-12.560839,-9.083273,-2.619421,4.333336,-8.407675,1.035766,-6.917330,-4.206647,-14.791831
177.307574,-17.228636,81.421555,-33.247234,25.435059,-1.971271,19.082628,4.042600,15.988970,1.213868,16.717669,-2.470557,-15.082886,-12.961729,-5.062614,1.087629,0.019478,-12.355885,1.357656,-5.018222,-4.890599,-13.910419
177.330794,-16.721100,81.233505,-32.601643,27.100010,2.706023,14.215950,3.258418,15.215145,3.076332,18.134048,-5.122023,-15.710320,-11.727690,-5.250586,6.390204,2.152327,-13.130600,-4.113388,-0.878510,-4.354812,-11.888837
177.354014,-19.072653,82.277954,-31.614281,30.825180,-1.076484,14.987431,4.676541,17.215887,0.969518,20.935223,-2.261778,-13.298326,-12.519177,-9.075868,3.769370,0.800431,-9.930555,-0.392272,-0.445648,-3.795969,-13.083488
177.377234,-19.482948,83.116348,-34.814400,29.287663,-4.938765,20.472267,9.082384,19.792034,-1.590071,18.690510,-2.199892,-13.879861,-14.502547,-15.125429,-0.693283,-0.039002,-7.323365,2.046849,-1.947275,-6.600889,-12.689645
177.400454,-12.913916,89.669617,-29.438465,30.018291,-4.042015,14.480381,3.362201,11.948814,-4.851399,12.327303,-0.664940,-11.761185,-11.941325,-14.052558,1.542172,1.793835,-6.933749,2.053653,-1.024924,-5.570710,-16.556463
177.423673,23.520792,88.073242,-22.810551,24.438427,-4.630476,9.825021,-2.180392,2.924904,-8.048148,6.384763,0.439325,-7.766342,-11.209333,-10.542538,-2.565768,6.350942,-7.106615,-1.239001,-1.461812,-4.638008,-12.826212
177.446893,37.926697,77.881126,-23.950726,17.015434,-6.203083,5.663544,5.495783,3.412391,-2.911979,2.210623,-1.257090,-8.401912,-10.197802,-8.920891,-0.399263,2.500476,-6.621325,-4.876437,-8.240704,-7.251909,-11.443462
177.470113,21.929785,69.425392,-24.442680,14.975012,-5.573177,5.452846,8.892176,7.064662,4.944091,5.351284,0.611002,-7.073826,-11.739712,-7.484402,4.106758,0.959957,-7.053155,-2.056237,-8.539023,-7.029279,-9.478847
177.493333,15.860232,63.856354,-19.613697,17.058388,-4.283216,5.198351,6.634644,9.228596,3.417709,10.266638,1.251422,-6.064705,-10.988125,-8.290730,4.424906,6.040920,-9.296619,2.048376,-4.033527,-1.688864,-11.840214
177.516553,12.429366,58.263657,-20.475807,16.187090,-1.310918,11.752826,14.742960,12.327448,-0.416108,8.551163,-2.723047,-5.598491,-16.068871,-7.979126,-0.577847,5.557624,-9.412833,6.580743,0.462132,2.155426,-14.039323
177.539773,10.430081,60.152939,-21.218708,14.333292,1.342512,14.220293,14.563940,11.523436,-1.964430,8.990426,-3.837827,-7.263826,-16.654015,-4.355405,-1.532051,7.326749,-6.326986,4.393898,-2.101369,-3.718873,-17.779438
